市場・商品区分,銘柄コード,銘柄名,現在のステージ,最新終値,最新出来高
プライム（内国株式）,1301.T,極洋,3,4395.0,149400
ETF・ETN,1305.T,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）,1,3089.0,40800
ETF・ETN,1306.T,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,1,3051.0,741670
ETF・ETN,1308.T,上場インデックスファンドＴＯＰＩＸ,1,3015.0,107504
ETF・ETN,1309.T,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,1,45820.0,50
グロース（内国株式）,130A.T,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,1,873.0,1011300
ETF・ETN,1311.T,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,1,1523.0,4670
ETF・ETN,1319.T,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,1,571.0,1000
ETF・ETN,1320.T,ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）,1,41620.0,18597
ETF・ETN,1321.T,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,1,41790.0,105682
ETF・ETN,1322.T,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,1,8889.0,732
ETF・ETN,1325.T,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,3,200.8000030517578,30800
ETF・ETN,1326.T,ＳＰＤＲゴールド・シェア,1,45650.0,5581
ETF・ETN,1328.T,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,1,11865.0,31230
ETF・ETN,1329.T,ｉシェアーズ・コア　日経２２５　ＥＴＦ,1,4225.0,201409
ETF・ETN,1330.T,上場インデックスファンド２２５,1,41810.0,23498
プライム（内国株式）,1332.T,ニッスイ,1,941.7999877929688,4383800
プライム（内国株式）,1333.T,マルハニチロ,1,3200.0,184500
ETF・ETN,133A.T,グローバルＸ　超短期米国債　ＥＴＦ,1,993.0,68142
ETF・ETN,1343.T,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ　指数連動型上場投信,1,2041.5,457800
ETF・ETN,1345.T,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,1,1909.0,29500
ETF・ETN,1346.T,ＭＡＸＩＳ　日経２２５上場投信,1,41810.0,8892
ETF・ETN,1348.T,ＭＡＸＩＳ　トピックス上場投信,1,3041.0,26800
ETF・ETN,1349.T,ＡＢＦ汎アジア債券インデックス・ファンド,1,16810.0,12
ETF・ETN,1356.T,ＴＯＰＩＸベア２倍上場投信,4,242.5,1112390
ETF・ETN,1357.T,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信,4,9670.0,1219482
ETF・ETN,1358.T,上場インデックスファンド日経レバレッジ指数,1,53330.0,9235
グロース（内国株式）,135A.T,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,4,2236.0,86300
ETF・ETN,1360.T,日経平均ベア２倍上場投信,4,237.6999969482422,25923230
ETF・ETN,1364.T,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,1,2736.0,10017
ETF・ETN,1365.T,ｉＦｒｅｅＥＴＦ　日経平均レバレッジ・インデックス,1,43430.0,23775
ETF・ETN,1366.T,ｉＦｒｅｅＥＴＦ　日経平均ダブルインバース・インデックス,4,244.0,3416423
ETF・ETN,1367.T,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸレバレッジ（２倍）指数,1,40770.0,2567
ETF・ETN,1368.T,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸダブルインバース（－２倍）指数,4,352.0,56756
ETF・ETN,1369.T,Ｏｎｅ　ＥＴＦ　日経２２５,1,40670.0,1042
プライム（内国株式）,1375.T,ユキグニファクトリー,1,1135.0,32900
スタンダード（内国株式）,1376.T,カネコ種苗,1,1391.0,6400
プライム（内国株式）,1377.T,サカタのタネ,1,3515.0,111600
プライム（内国株式）,1379.T,ホクト,1,1881.0,38900
グロース（内国株式）,137A.T,Ｃｏｃｏｌｉｖｅ,4,1345.0,11800
スタンダード（内国株式）,1380.T,秋川牧園,1,1019.0,1000
スタンダード（内国株式）,1381.T,アクシーズ,1,3005.0,2100
スタンダード（内国株式）,1382.T,ホーブ,4,1771.0,800
スタンダード（内国株式）,1383.T,ベルグアース,1,2985.0,300
スタンダード（内国株式）,1384.T,ホクリヨウ,1,1680.0,17900
グロース（内国株式）,138A.T,光フードサービス,1,2437.0,3000
ETF・ETN,1397.T,ＳＭＤＡＭ　日経２２５上場投信,1,40980.0,89
ETF・ETN,1398.T,ＳＭＤＡＭ　東証ＲＥＩＴ指数上場投信,1,1938.0,179810
ETF・ETN,1399.T,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ,1,2384.0,248
グロース（内国株式）,1401.T,エムビーエス,1,1261.0,77200
スタンダード（内国株式）,1407.T,ウエストホールディングス,4,1545.0,288800
ETF・ETN,140A.T,ｉＦｒｅｅＥＴＦ　米国１０年国債先物インバース,4,1964.0,102
プライム（内国株式）,1414.T,ショーボンドホールディングス,1,4895.0,139500
プライム（内国株式）,1417.T,ミライト・ワン,1,2815.0,266300
スタンダード（内国株式）,1418.T,インターライフホールディングス,1,417.0,26000
プライム（内国株式）,1419.T,タマホーム,1,3685.0,168100
グロース（内国株式）,141A.T,トライアルホールディングス,1,2439.0,674100
スタンダード（内国株式）,1420.T,サンヨーホームズ,1,690.0,8700
プライム（内国株式）,1429.T,日本アクア,1,837.0,76500
グロース（内国株式）,142A.T,ジンジブ,1,682.0,31900
スタンダード（内国株式）,1430.T,ファーストコーポレーション,1,911.0,47300
グロース（内国株式）,1431.T,Ｌｉｂ　Ｗｏｒｋ,1,756.0,60900
プライム（内国株式）,1433.T,ベステラ,1,1196.0,178600
スタンダード（内国株式）,1434.T,ＪＥＳＣＯホールディングス,1,1049.0,107800
スタンダード（内国株式）,1435.T,ｒｏｂｏｔ　ｈｏｍｅ,1,165.0,306200
グロース（内国株式）,1436.T,グリーンエナジー＆カンパニー,1,2326.0,4300
スタンダード（内国株式）,1438.T,岐阜造園,1,1928.0,700
グロース（内国株式）,143A.T,イシン,4,1041.0,7600
スタンダード（内国株式）,1443.T,技研ホールディングス,1,206.0,48600
グロース（内国株式）,1444.T,ニッソウ,4,2571.0,5100
スタンダード（内国株式）,1446.T,キャンディル,1,574.0,5400
グロース（内国株式）,1447.T,ＳＡＡＦホールディングス,1,283.0,45400
スタンダード（内国株式）,1450.T,ＴＡＮＡＫＥＮ,1,1464.0,4800
ETF・ETN,1456.T,ｉＦｒｅｅＥＴＦ　日経平均インバース・インデックス,4,2261.0,13714
ETF・ETN,1457.T,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸインバース（－１倍）指数,4,2615.0,8071
ETF・ETN,1458.T,楽天ＥＴＦ‐日経レバレッジ指数連動型,1,33480.0,289805
ETF・ETN,1459.T,楽天ＥＴＦ‐日経ダブルインバース指数連動型,4,389.0,9577976
グロース（内国株式）,145A.T,Ｌ　ｉｓ　Ｂ,1,1119.0,29500
ETF・ETN,1466.T,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００ダブルインバース・インデックス,4,455.0,2156
ETF・ETN,1469.T,ＪＰＸ日経４００ベア２倍上場投信（ダブルインバース）,4,441.0,3340
スタンダード（内国株式）,146A.T,コロンビア・ワークス,2,2637.0,27600
ETF・ETN,1472.T,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００ダブルインバース・インデックス連動型上場投信,4,180.0,7502
ETF・ETN,1473.T,Ｏｎｅ　ＥＴＦ　トピックス,1,2983.0,12680
ETF・ETN,1474.T,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００,1,26745.0,378
ETF・ETN,1475.T,ｉシェアーズ・コア　ＴＯＰＩＸ　ＥＴＦ,1,304.3999938964844,2034640
ETF・ETN,1476.T,ｉシェアーズ・コア　Ｊリート　ＥＴＦ,1,1957.0,106317
ETF・ETN,1477.T,ｉシェアーズ　ＭＳＣＩ　日本株最小分散　ＥＴＦ,1,2723.0,597
ETF・ETN,1478.T,ｉシェアーズ　ＭＳＣＩ　ジャパン高配当利回り　ＥＴＦ,1,4005.0,106786
ETF・ETN,1479.T,ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株人材設備投資指数,1,37340.0,1
グロース（内国株式）,147A.T,ソラコム,1,936.0,102900
ETF・ETN,1480.T,ＮＥＸＴ　ＦＵＮＤＳ　野村企業価値分配指数連動型上場投信,1,28790.0,12
ETF・ETN,1481.T,上場インデックスファンド日本経済貢献株,1,2974.0,1
ETF・ETN,1482.T,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ（為替ヘッジあり）,1,1649.0,80521
ETF・ETN,1483.T,ｉシェアーズ　ＪＰＸ／Ｓ＆Ｐ設備・人材投資　ＥＴＦ,1,2987.0,101
ETF・ETN,1484.T,Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備・人材投資指数,1,2936.5,1860
ETF・ETN,1485.T,ＭＡＸＩＳ　ＪＡＰＡＮ　設備・人材積極投資企業２００上場投信,1,43600.0,0
ETF・ETN,1486.T,上場インデックスファンド米国債券（為替ヘッジなし）,1,22850.0,258
ETF・ETN,1487.T,上場インデックスファンド米国債券（為替ヘッジあり）,1,12650.0,1578
ETF・ETN,1488.T,ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ指数,1,1954.0,221406
